recv_time,topic,payload
2025-12-10T02:52:48.200350,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":122033,""temperature"":25}"
2025-12-10T02:53:00.163197,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":287221,""temperature"":25}"
2025-12-10T02:53:05.028651,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":127034,""temperature"":24}"
2025-12-10T02:53:16.898930,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":292222,""temperature"":29}"
2025-12-10T02:53:21.764010,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":132035,""temperature"":27}"
2025-12-10T02:53:33.762010,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":297223,""temperature"":23}"
2025-12-10T02:53:38.345681,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":137036,""temperature"":21}"
2025-12-10T02:53:50.347669,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":302224,""temperature"":23}"
2025-12-10T02:53:55.171867,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":142037,""temperature"":26}"
2025-12-10T02:54:07.265538,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":307225,""temperature"":24}"
2025-12-10T02:54:12.058641,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":147038,""temperature"":26}"
2025-12-10T02:54:24.536176,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":312226,""temperature"":21}"
2025-12-10T02:54:29.119752,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":152039,""temperature"":23}"
2025-12-10T02:54:41.461970,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":317227,""temperature"":21}"
2025-12-10T02:54:45.664075,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":157040,""temperature"":28}"
2025-12-10T02:54:58.490908,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":322228,""temperature"":28}"
2025-12-10T02:55:02.797093,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":162041,""temperature"":27}"
2025-12-10T02:55:16.053265,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":327229,""temperature"":27}"
2025-12-10T02:55:19.619028,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":167042,""temperature"":24}"
2025-12-10T02:55:32.508241,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":332230,""temperature"":27}"
2025-12-10T02:55:36.341994,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":172043,""temperature"":22}"
2025-12-10T02:55:49.134037,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":337231,""temperature"":25}"
2025-12-10T02:55:53.132872,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":177044,""temperature"":24}"
2025-12-10T02:56:05.829109,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":342232,""temperature"":24}"
2025-12-10T02:56:09.849020,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":182045,""temperature"":22}"
2025-12-10T02:56:25.073665,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":347233,""temperature"":27}"
2025-12-10T02:56:43.878500,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":187046,""temperature"":26}"
2025-12-10T02:56:46.817559,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":352234,""temperature"":26}"
2025-12-10T02:57:01.485974,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":192047,""temperature"":29}"
2025-12-10T02:57:03.567421,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":357235,""temperature"":29}"
2025-12-10T02:57:18.227042,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":197048,""temperature"":21}"
2025-12-10T02:57:20.426382,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":362236,""temperature"":28}"
2025-12-10T02:57:35.036900,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":202049,""temperature"":26}"
2025-12-10T02:57:37.747306,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":367237,""temperature"":22}"
2025-12-10T02:57:51.717185,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":207050,""temperature"":25}"
2025-12-10T02:57:54.936903,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":372238,""temperature"":21}"
2025-12-10T02:58:08.473638,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":212051,""temperature"":26}"
2025-12-10T02:58:11.693936,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":377239,""temperature"":25}"
2025-12-10T02:58:25.078468,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":217052,""temperature"":28}"
2025-12-10T02:58:28.515729,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":382240,""temperature"":22}"
2025-12-10T02:58:41.833505,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":222053,""temperature"":23}"
2025-12-10T02:58:45.405668,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":387241,""temperature"":23}"
2025-12-10T02:58:58.234314,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":227054,""temperature"":22}"
2025-12-10T02:59:02.099184,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":392242,""temperature"":22}"
2025-12-10T02:59:22.602492,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":397243,""temperature"":20}"
2025-12-10T02:59:26.661762,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":232055,""temperature"":25}"
2025-12-10T02:59:39.945246,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":402244,""temperature"":20}"
2025-12-10T02:59:43.480957,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":237056,""temperature"":22}"
2025-12-10T02:59:56.553905,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":407245,""temperature"":22}"
2025-12-10T02:59:59.947793,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":242057,""temperature"":26}"
2025-12-10T03:00:17.455496,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":412246,""temperature"":26}"
2025-12-10T03:00:37.217758,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":247058,""temperature"":22}"
2025-12-10T03:00:37.453286,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":417247,""temperature"":28}"
2025-12-10T03:00:53.993737,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":252059,""temperature"":28}"
2025-12-10T03:00:54.210937,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":422248,""temperature"":23}"
2025-12-10T03:01:10.883449,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":257060,""temperature"":25}"
2025-12-10T03:01:11.216172,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":427249,""temperature"":20}"
2025-12-10T03:01:27.855216,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":262061,""temperature"":29}"
2025-12-10T03:01:28.135827,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":432250,""temperature"":20}"
2025-12-10T03:01:45.087948,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":267062,""temperature"":23}"
2025-12-10T03:01:45.397324,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":437251,""temperature"":22}"
2025-12-10T03:02:01.674370,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":272063,""temperature"":23}"
2025-12-10T03:02:02.038855,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":442252,""temperature"":22}"
2025-12-10T03:02:18.600622,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":277064,""temperature"":24}"
2025-12-10T03:02:18.982207,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":447253,""temperature"":23}"
2025-12-10T03:02:35.433549,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":282065,""temperature"":21}"
2025-12-10T03:02:35.891112,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":452254,""temperature"":24}"
2025-12-10T03:02:53.103074,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":457255,""temperature"":29}"
2025-12-10T03:03:14.415823,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":462256,""temperature"":22}"
2025-12-10T03:03:15.748188,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":287152,""temperature"":28}"
